model,subj_prod_plus,subj_overgen,subj_prop,obj_prod_plus,obj_overgen,obj_prop,obj_ctrl_suppletive,n_subj,n_obj,memo_si_plus,memo_si_minus,memo_mirror
exaone3.5,0.8611111111111112,0.027777777777777776,0.8333333333333334,0.32142857142857145,0.0,0.32142857142857145,0.39285714285714285,108,56,0.975,0.0,0.975
qwen3,0.9444444444444444,0.027777777777777776,0.9166666666666666,0.0,0.0,0.0,0.017857142857142856,108,56,1.0,0.0,1.0
llama3.1,0.4351851851851852,0.009259259259259259,0.42592592592592593,0.017857142857142856,0.0,0.017857142857142856,0.07142857142857142,108,56,0.8,0.0,0.8
